text,sql
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать сотрудников старше 39 лет.,SELECT * FROM Сотрудники WHERE возраст > 39;
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать значение поля ""авторы"" для всех научных работ.",SELECT авторы FROM Научные_работы;
Вывести ученое_звание всех сотрудников.,SELECT ученое_звание FROM Сотрудники;
Показать все научные работы.,SELECT * FROM Научные_работы;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать публикации за 2013 год.,SELECT * FROM Научные_работы WHERE год = 2013;
Показать всех сотрудников.,SELECT * FROM Сотрудники;
"Показать научные работы, опубликованные в журнале Экономика образования.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика образования';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;
"Показать научные работы, опубликованные в журнале Архитектура и проектирование.",SELECT * FROM Научные_работы WHERE название_журнала = 'Архитектура и проектирование';
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;"
Вывести категория_персонала всех сотрудников.,SELECT категория_персонала FROM Сотрудники;
Показать публикации за 2012 год.,SELECT * FROM Научные_работы WHERE год = 2012;
Показать публикации за 2023 год.,SELECT * FROM Научные_работы WHERE год = 2023;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать публикации за 2007 год.,SELECT * FROM Научные_работы WHERE год = 2007;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
"Показать научные работы, опубликованные в журнале Строительство XXI века.",SELECT * FROM Научные_работы WHERE название_журнала = 'Строительство XXI века';
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;"
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
"Показать значение поля ""название_журнала"" для всех научных работ.",SELECT название_журнала FROM Научные_работы;
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
"Показать значение поля ""год"" для всех научных работ.",SELECT год FROM Научные_работы;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать сотрудников старше 49 лет.,SELECT * FROM Сотрудники WHERE возраст > 49;
Показать сотрудников старше 56 лет.,SELECT * FROM Сотрудники WHERE возраст > 56;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;"
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
"Показать значение поля ""авторы"" для всех научных работ.",SELECT авторы FROM Научные_работы;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать публикации за 2011 год.,SELECT * FROM Научные_работы WHERE год = 2011;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать значение поля ""база_цитирования"" для всех научных работ.",SELECT база_цитирования FROM Научные_работы;
Показать сотрудников старше 43 лет.,SELECT * FROM Сотрудники WHERE возраст > 43;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать сотрудников старше 64 лет.,SELECT * FROM Сотрудники WHERE возраст > 64;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
"Показать научные работы, опубликованные в журнале Экономика и управление.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
Вывести категория_персонала всех сотрудников.,SELECT категория_персонала FROM Сотрудники;
Показать публикации за 2019 год.,SELECT * FROM Научные_работы WHERE год = 2019;
Вывести ФИО всех сотрудников.,SELECT ФИО FROM Сотрудники;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Вывести ученое_звание всех сотрудников.,SELECT ученое_звание FROM Сотрудники;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать значение поля ""база_цитирования"" для всех научных работ.",SELECT база_цитирования FROM Научные_работы;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать публикации за 2015 год.,SELECT * FROM Научные_работы WHERE год = 2015;
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Вывести подразделение всех сотрудников.,SELECT подразделение FROM Сотрудники;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
"Показать значение поля ""авторы"" для всех научных работ.",SELECT авторы FROM Научные_работы;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
Показать публикации за 2024 год.,SELECT * FROM Научные_работы WHERE год = 2024;
Показать публикации за 2019 год.,SELECT * FROM Научные_работы WHERE год = 2019;
Список сотрудников из Институт химии.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт химии';
"Показать значение поля ""автор"" для всех научных работ.",SELECT автор FROM Научные_работы;
Список сотрудников из Институт математики и информатики.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';
Список сотрудников из Институт математики и информатики.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Вывести ученая_степень всех сотрудников.,SELECT ученая_степень FROM Сотрудники;
Показать публикации за 2006 год.,SELECT * FROM Научные_работы WHERE год = 2006;
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Список сотрудников из Институт математики и информатики.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';
"Показать научные работы, опубликованные в журнале Архитектура и проектирование.",SELECT * FROM Научные_работы WHERE название_журнала = 'Архитектура и проектирование';
Показать все научные работы.,SELECT * FROM Научные_работы;
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Список сотрудников из Институт химии.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт химии';
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать сотрудников старше 57 лет.,SELECT * FROM Сотрудники WHERE возраст > 57;
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
"Показать значение поля ""год"" для всех научных работ.",SELECT год FROM Научные_работы;
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;"
Показать сотрудников старше 43 лет.,SELECT * FROM Сотрудники WHERE возраст > 43;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать публикации за 2019 год.,SELECT * FROM Научные_работы WHERE год = 2019;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
"Показать значение поля ""второе_название"" для всех научных работ.",SELECT второе_название FROM Научные_работы;
"Показать научные работы, опубликованные в журнале Дискретная математика.",SELECT * FROM Научные_работы WHERE название_журнала = 'Дискретная математика';
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать сотрудников старше 31 лет.,SELECT * FROM Сотрудники WHERE возраст > 31;
Показать всех сотрудников с должностью Ассистент.,SELECT * FROM Сотрудники WHERE должность = 'Ассистент';
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
Показать публикации за 2005 год.,SELECT * FROM Научные_работы WHERE год = 2005;
"Показать научные работы, опубликованные в журнале Химический журнал.",SELECT * FROM Научные_работы WHERE название_журнала = 'Химический журнал';
"Показать значение поля ""автор"" для всех научных работ.",SELECT автор FROM Научные_работы;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;"
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
"Показать значение поля ""год"" для всех научных работ.",SELECT год FROM Научные_работы;
"Показать научные работы, опубликованные в журнале Журнал нанотехнологий.",SELECT * FROM Научные_работы WHERE название_журнала = 'Журнал нанотехнологий';
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
"Показать значение поля ""ссылки"" для всех научных работ.",SELECT ссылки FROM Научные_работы;
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Список сотрудников из Институт химии.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт химии';
Показать все научные работы.,SELECT * FROM Научные_работы;
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;"
Показать сотрудников старше 57 лет.,SELECT * FROM Сотрудники WHERE возраст > 57;
"Показать научные работы, опубликованные в журнале Строительство XXI века.",SELECT * FROM Научные_работы WHERE название_журнала = 'Строительство XXI века';
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать публикации за 2019 год.,SELECT * FROM Научные_работы WHERE год = 2019;
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать публикации за 2013 год.,SELECT * FROM Научные_работы WHERE год = 2013;
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
"Показать научные работы, опубликованные в журнале Физика и техника.",SELECT * FROM Научные_работы WHERE название_журнала = 'Физика и техника';
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Показать публикации за 2013 год.,SELECT * FROM Научные_работы WHERE год = 2013;
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
"Показать научные работы, опубликованные в журнале Экономика сегодня.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика сегодня';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
"Показать значение поля ""автор"" для всех научных работ.",SELECT автор FROM Научные_работы;
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
"Показать значение поля ""база_цитирования"" для всех научных работ.",SELECT база_цитирования FROM Научные_работы;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
"Показать значение поля ""название_журнала"" для всех научных работ.",SELECT название_журнала FROM Научные_работы;
"Показать научные работы, опубликованные в журнале Вестник математики.",SELECT * FROM Научные_работы WHERE название_журнала = 'Вестник математики';
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
