text,sql
Показать всех сотрудников с должностью Доцент.,SELECT * FROM Сотрудники WHERE должность = 'Доцент';
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
"Показать значение поля ""ссылки"" для всех научных работ.",SELECT ссылки FROM Научные_работы;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать публикации за 2007 год.,SELECT * FROM Научные_работы WHERE год = 2007;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;"
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать сотрудников старше 41 лет.,SELECT * FROM Сотрудники WHERE возраст > 41;
Показать всех сотрудников.,SELECT * FROM Сотрудники;
"Показать научные работы, опубликованные в журнале Экономика и управление.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать публикации за 2019 год.,SELECT * FROM Научные_работы WHERE год = 2019;
"Показать научные работы, опубликованные в журнале Журнал нанотехнологий.",SELECT * FROM Научные_работы WHERE название_журнала = 'Журнал нанотехнологий';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
Показать публикации за 2013 год.,SELECT * FROM Научные_работы WHERE год = 2013;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать публикации за 2013 год.,SELECT * FROM Научные_работы WHERE год = 2013;
"Показать научные работы, опубликованные в журнале Архитектура и строительство.",SELECT * FROM Научные_работы WHERE название_журнала = 'Архитектура и строительство';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Вывести вид_занятости всех сотрудников.,SELECT вид_занятости FROM Сотрудники;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать всех сотрудников с должностью Ассистент.,SELECT * FROM Сотрудники WHERE должность = 'Ассистент';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Список сотрудников из Институт математики и информатики.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать сотрудников старше 25 лет.,SELECT * FROM Сотрудники WHERE возраст > 25;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
"Показать научные работы, опубликованные в журнале Бухгалтерский учет сегодня.",SELECT * FROM Научные_работы WHERE название_журнала = 'Бухгалтерский учет сегодня';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
"Показать значение поля ""база_цитирования"" для всех научных работ.",SELECT база_цитирования FROM Научные_работы;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать сотрудников старше 43 лет.,SELECT * FROM Сотрудники WHERE возраст > 43;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';
Вывести категория_персонала всех сотрудников.,SELECT категория_персонала FROM Сотрудники;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;"
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
"Показать научные работы, опубликованные в журнале Вестник информатики.",SELECT * FROM Научные_работы WHERE название_журнала = 'Вестник информатики';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Показать сотрудников старше 46 лет.,SELECT * FROM Сотрудники WHERE возраст > 46;
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Показать публикации за 2007 год.,SELECT * FROM Научные_работы WHERE год = 2007;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать публикации за 2023 год.,SELECT * FROM Научные_работы WHERE год = 2023;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
"Показать научные работы, опубликованные в журнале Химия и жизнь.",SELECT * FROM Научные_работы WHERE название_журнала = 'Химия и жизнь';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Список сотрудников из Институт математики и информатики.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;"
Показать сотрудников старше 35 лет.,SELECT * FROM Сотрудники WHERE возраст > 35;
"Показать научные работы, опубликованные в журнале Экономика образования.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика образования';
Показать всех сотрудников с должностью Ассистент.,SELECT * FROM Сотрудники WHERE должность = 'Ассистент';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Показать публикации за 2010 год.,SELECT * FROM Научные_работы WHERE год = 2010;
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать научные работы, опубликованные в журнале Химия и жизнь.",SELECT * FROM Научные_работы WHERE название_журнала = 'Химия и жизнь';
"Показать научные работы, опубликованные в журнале Бухгалтерский учет сегодня.",SELECT * FROM Научные_работы WHERE название_журнала = 'Бухгалтерский учет сегодня';
Показать всех сотрудников.,SELECT * FROM Сотрудники;
"Показать значение поля ""год"" для всех научных работ.",SELECT год FROM Научные_работы;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
"Показать научные работы, опубликованные в журнале Экономика сегодня.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика сегодня';
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
"Показать значение поля ""название_журнала"" для всех научных работ.",SELECT название_журнала FROM Научные_работы;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать сотрудников старше 27 лет.,SELECT * FROM Сотрудники WHERE возраст > 27;
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;"
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать сотрудников старше 29 лет.,SELECT * FROM Сотрудники WHERE возраст > 29;
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
"Показать значение поля ""ссылки"" для всех научных работ.",SELECT ссылки FROM Научные_работы;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать научные работы, опубликованные в журнале Бухгалтерский учет сегодня.",SELECT * FROM Научные_работы WHERE название_журнала = 'Бухгалтерский учет сегодня';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать всех сотрудников.,SELECT * FROM Сотрудники;
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
Показать публикации за 2005 год.,SELECT * FROM Научные_работы WHERE год = 2005;
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
"Показать научные работы, опубликованные в журнале Журнал нанотехнологий.",SELECT * FROM Научные_работы WHERE название_журнала = 'Журнал нанотехнологий';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать всех сотрудников.,SELECT * FROM Сотрудники;
