Input,Expected SQL,Predicted SQL
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
"Показать научные работы, опубликованные в журнале Дискретная математика.",SELECT * FROM Научные_работы WHERE название_журнала = 'Дискретная математика';,SELECT * FROM Научные_работы WHERE название_журнала = 'Дискретная математика';
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Армянские сыровяленые колбасы,SELECT * FROM Продукты WHERE категория = 'колбаса' AND производитель = 'Армения';,SELECT * FROM Продукты WHERE категория = 'Армянская';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать научные работы, опубликованные в журнале Вестник информатики.",SELECT * FROM Научные_работы WHERE название_журнала = 'Вестник информатики';,SELECT * FROM Научные_работы WHERE название_журнала = 'Вестник информатики';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';,SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать научные работы, опубликованные в журнале Экономика и управление.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';,SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать научные работы, опубликованные в журнале Экономика и управление.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';,SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
"Показать значение поля ""второе_название"" для всех научных работ.",SELECT второе_название FROM Научные_работы;,SELECT второе_название FROM Научные_работы;
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE С"
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';,SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;,SELECT название FROM Научные_работы;
"Показать значение поля ""название_журнала"" для всех научных работ.",SELECT название_журнала FROM Научные_работы;,SELECT название_журнала FROM Научные_работы;
Летнюю резину R16,SELECT * FROM Шины WHERE сезон = 'летняя' AND радиус = 'R16';,SELECT * FROM Шины WHERE резина = 'R16';
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
Установить новое изображение профиля пользователя,UPDATE Users SET profile_image_url = '/path/to/image.jpg' WHERE user_id = 123;,SELECT * FROM Инструменты WHERE инструмент = 'новые';
Какие спортсмены участвуют в соревнованиях и каких результатов добились?,"SELECT Спортсмены.Фамилия, Соревнования.Название, РезультатыСпортсменов.Результат FROM Спортсмены JOIN Соревнования JOIN РезультатыСпортсменов ON Спортсмены.id = РезультатыСпортсменов.Спортсмен_id AND Соревнования.id = РезультатыСпортсменов.Соревнование_id;","SELECT спортсмены.id, e.equiment_id, e.equiment_id, e.equiment_id, e.equiment_id, e.equiment_id, e"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Вывести ученая_степень всех сотрудников.,SELECT ученая_степень FROM Сотрудники;,SELECT ученая_степень FROM Сотрудники;
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE С"
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать сотрудников старше 51 лет.,SELECT * FROM Сотрудники WHERE возраст > 51;,SELECT * FROM Сотрудники WHERE возраст > 51;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Праздничные открытки с изображением елки,SELECT * FROM Открытки WHERE рисунок = 'елка';,SELECT * FROM открытки WHERE изображение = 'елка';
Показать сотрудников старше 31 лет.,SELECT * FROM Сотрудники WHERE возраст > 31;,SELECT * FROM Сотрудники WHERE возраст > 31;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Чистящее средство для унитаза,SELECT * FROM ХозяйственныеТовары WHERE товар = 'чистящее средство' AND назначение = 'унитаз';,SELECT * FROM Чистящее средство WHERE средство = 'унитаза';
Показать сотрудников старше 65 лет.,SELECT * FROM Сотрудники WHERE возраст > 65;,SELECT * FROM Сотрудники WHERE возраст > 65;
Популярность моделей смартфонов по объёму продаж за последний год с долей рынка,"SELECT model, SUM(units_sold) AS total_units, SUM(units_sold)/(SELECT SUM(units_sold) FROM SmartphoneSales WHERE sale_year=CURRENT_YEAR-1)*100 AS market_share FROM SmartphoneSales WHERE sale_year=CURRENT_YEAR-1 GROUP BY model;","SELECT e.ect_id, ec.ec.ect_id, ec.ec.ect_id, ec.ec.ect_id, ec.ec.ec"
Вывести ученое_звание всех сотрудников.,SELECT ученое_звание FROM Сотрудники;,SELECT ученое_звание FROM Сотрудники;
Топ-10 продавцов с наивысшей суммой заключенных сделок за последнее полугодие,"SELECT salesperson_id, SUM(deal_amount) AS total_deals FROM SalesDeals WHERE deal_date>=SYSDATE-180 GROUP BY salesperson_id ORDER BY total_deals DESC LIMIT 10;",SELECT * FROM Товары WHERE дата_должность = 'SELECT 'SELECT) AS 'SELECT) AS 'SELECT) AS
Список сотрудников из Институт математики и информатики.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';,SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.
Вывести должность всех сотрудников.,SELECT должность FROM Сотрудники;,SELECT должность FROM Сотрудники;
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
Показать сотрудников старше 49 лет.,SELECT * FROM Сотрудники WHERE возраст > 49;,SELECT * FROM Сотрудники WHERE возраст > 49;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
"Показать научные работы, опубликованные в журнале Архитектура и проектирование.",SELECT * FROM Научные_работы WHERE название_журнала = 'Архитектура и проектирование';,SELECT * FROM Научные_работы WHERE название_журнала = 'Архитектура и проектирование';
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать сотрудников старше 65 лет.,SELECT * FROM Сотрудники WHERE возраст > 65;,SELECT * FROM Сотрудники WHERE возраст > 65;
"Показать научные работы, опубликованные в журнале Физика и техника.",SELECT * FROM Научные_работы WHERE название_журнала = 'Физика и техника';,SELECT * FROM Научные_работы WHERE название_журнала = 'Физика и техника';
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Список сотрудников из Институт математики и информатики.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';
Критерии допуска к международным спортивным соревнованиям и индивидуальные рекорды атлетов,"SELECT athlete_id, qualification_criteria, personal_best FROM Athletes at JOIN Qualifications q ON at.athlete_id=q.athlete_id WHERE competition_level='Olympics';","SELECT co.count_id, e.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.e"
"Показать значение поля ""год"" для всех научных работ.",SELECT год FROM Научные_работы;,SELECT год FROM Научные_работы;
"Преподавателей, родившихся в Москве",SELECT * FROM Преподаватели WHERE место_рождения = 'Москва';,SELECT * FROM Преподаватели WHERE город = 'Россия';
"Списки преподавателей и предметы, которые они ведут","SELECT Преподаватели.ФИО, Предметы.НазваниеПредмета FROM Преподаватели JOIN Предметы ON Преподаватели.Предмет_id = Предметы.id;","SELECT преподаватели.id, e.equiment_id, e.equiment_id, e.equiment_id, e.equiment_id, e.equiment_id, e"
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';,SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';,SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать сотрудников старше 64 лет.,SELECT * FROM Сотрудники WHERE возраст > 64;,SELECT * FROM Сотрудники WHERE возраст > 64;
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Вывести вид_занятости всех сотрудников.,SELECT вид_занятости FROM Сотрудники;,SELECT вид_занятости FROM Сотрудники;
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Кольца рыболовные стальные,SELECT * FROM РыболовныеИзделия WHERE изделие = 'кольцо' AND материал = 'сталь';,SELECT * FROM Инструменты WHERE инструмент = 'кольцо' AND материал = 'стальные';
"Показать значение поля ""база_цитирования"" для всех научных работ.",SELECT база_цитирования FROM Научные_работы;,SELECT база_цитирования FROM Научные_работы;
Показать публикации за 2008 год.,SELECT * FROM Научные_работы WHERE год = 2008;,SELECT * FROM Научные_работы WHERE год = 2008;
Вывести ученая_степень всех сотрудников.,SELECT ученая_степень FROM Сотрудники;,SELECT ученая_степень FROM Сотрудники;
Вывести подразделение всех сотрудников.,SELECT подразделение FROM Сотрудники;,SELECT подразделение FROM Сотрудники;
Вывести возраст всех сотрудников.,SELECT возраст FROM Сотрудники;,SELECT возраст FROM Сотрудники;
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать сотрудников старше 51 лет.,SELECT * FROM Сотрудники WHERE возраст > 51;,SELECT * FROM Сотрудники WHERE возраст > 51;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
Показать всех сотрудников с должностью Ассистент.,SELECT * FROM Сотрудники WHERE должность = 'Ассистент';,SELECT * FROM Сотрудники WHERE должность = 'Ассистент';
